drink_id,region_id,city_address
395,5,화성시
396,5,화성시
397,5,화성시
398,5,화성시
399,5,화성시
400,5,화성시
401,5,화성시
402,5,화성시
403,5,화성시
404,5,화성시
405,5,화성시
406,5,화성시
407,154,장군면
408,154,장군면
409,16,김천시
410,10,제주시
411,122,광양시
412,122,광양시
413,122,광양시
414,122,광양시
415,122,광양시
416,122,광양시
417,122,광양시
418,122,광양시
419,122,광양시
420,122,광양시
421,122,광양시
422,122,광양시
423,122,광양시
424,122,광양시
425,122,광양시
426,122,광양시
427,122,광양시
428,122,광양시
429,122,광양시
430,122,광양시
431,122,광양시
432,122,광양시
433,122,광양시
434,122,광양시
435,45,서천군
436,45,서천군
437,45,서천군
438,89,예천군
439,13,봉화군
440,154,북구
441,154,북구
442,154,북구
443,154,북구
444,50,홍성군
445,109,강진군
446,109,강진군
447,109,강진군
448,109,강진군
449,109,강진군
450,109,강진군
451,109,강진군
452,117,성북구
453,88,보성군
454,118,울주군
455,118,울주군
456,118,울주군
457,118,울주군
458,118,울주군
459,118,울주군
460,118,울주군
461,9,춘천시
462,9,춘천시
463,75,남양주시
464,75,남양주시
465,116,김해시
466,29,양평군
467,29,양평군
468,49,용인시
469,49,용인시
470,74,중구
471,136,포항시
472,81,무주군
473,81,무주군
474,81,무주군
475,144,인제군
476,144,인제군
477,152,영동군
478,61,경산시
479,57,충주시
480,57,충주시
481,57,충주시
482,57,충주시
483,57,충주시
484,57,충주시
485,57,충주시
486,57,충주시
487,57,충주시
488,57,충주시
489,57,충주시
490,111,함안군
491,111,함안군
492,99,공주시
493,99,공주시
494,99,공주시
495,99,공주시
496,99,공주시
497,154,서구
498,154,연동면
499,154,연동면
500,154,연동면
501,40,영주시
502,81,무주군
503,81,무주군
504,81,무주군
505,81,무주군
506,81,무주군
507,81,무주군
508,81,무주군
509,81,무주군
510,81,무주군
511,81,무주군
512,81,무주군
513,81,무주군
514,81,무주군
515,81,무주군
516,81,무주군
517,81,무주군
518,152,영동군
519,152,영동군
520,152,영동군
521,152,영동군
522,152,영동군
523,152,영동군
524,152,영동군
525,152,영동군
526,58,파주시
527,58,파주시
528,58,파주시
529,58,파주시
530,58,파주시
531,33,홍천군
532,33,홍천군
533,33,홍천군
534,11,해남군
535,82,남동구
536,82,남동구
537,82,남동구
538,82,남동구
539,82,남동구
540,82,남동구
541,82,남동구
542,78,달서구
543,41,종로구
544,3,영암군
545,48,목포시
546,48,목포시
547,48,목포시
548,137,상주시
549,137,상주시
550,137,상주시
551,137,상주시
552,137,상주시
553,137,상주시
554,137,상주시
555,114,여수시
556,33,홍천군
557,33,홍천군
558,33,홍천군
559,33,홍천군
560,135,서초구
561,135,서초구
562,152,영동군
563,152,영동군
564,152,영동군
565,108,진천군
566,108,진천군
567,108,진천군
568,108,진천군
569,135,서초구
570,135,서초구
571,135,서초구
572,135,서초구
573,135,서초구
574,154,동구
575,154,동구
576,154,동구
577,154,동구
578,154,동구
579,154,동구
580,149,칠곡군
581,112,구미시
582,112,구미시
583,85,고창군
584,85,고창군
585,85,고창군
586,85,고창군
587,12,양주시
588,140,속초시
589,140,속초시
590,42,당진시
591,131,거제시
592,131,거제시
593,131,거제시
594,7,영천시
595,7,영천시
596,152,영동군
597,152,영동군
598,9,춘천시
599,9,춘천시
600,93,양구군
601,158,함양군
602,158,함양군
603,158,함양군
604,158,함양군
605,158,함양군
606,158,함양군
607,158,함양군
608,154,전동면
609,154,전동면
610,103,보은군
611,34,완주군
612,16,김천시
613,16,김천시
614,16,김천시
615,16,김천시
616,16,김천시
617,16,김천시
618,49,용인시
619,154,북구
620,42,당진시
621,156,순천시
622,70,서귀포시
623,49,용인시
624,49,용인시
625,10,제주시
626,10,제주시
627,10,제주시
628,10,제주시
629,10,제주시
630,5,화성시
631,69,포천시
632,69,포천시
633,69,포천시
634,69,포천시
635,69,포천시
636,69,포천시
637,69,포천시
638,69,포천시
639,69,포천시
640,69,포천시
641,69,포천시
642,69,포천시
643,69,포천시
644,75,남양주시
645,49,용인시
646,49,용인시
647,49,용인시
648,49,용인시
649,49,용인시
650,49,용인시
651,49,용인시
652,49,용인시
653,49,용인시
654,49,용인시
655,49,용인시
656,49,용인시
657,49,용인시
658,49,용인시
659,49,용인시
660,49,용인시
661,49,용인시
662,49,용인시
663,49,용인시
664,102,남원시
665,102,남원시
666,102,남원시
667,28,여주
668,28,여주
669,28,여주
670,28,여주
671,28,여주
672,28,여주
673,28,여주
674,28,여주
675,28,여주
676,28,여주
677,28,여주
678,28,여주
679,28,여주
680,86,청주시
681,86,청주시
682,152,영동군
683,152,영동군
684,152,영동군
685,152,영동군
686,152,영동군
687,152,영동군
688,152,영동군
689,152,영동군
690,152,영동군
691,152,영동군
692,152,영동군
693,152,영동군
694,70,서귀포시
695,70,서귀포시
696,70,서귀포시
697,70,서귀포시
698,70,서귀포시
699,70,서귀포시
700,70,서귀포시
701,30,곡성군
702,30,곡성군
703,30,곡성군
704,30,곡성군
705,30,곡성군
706,30,곡성군
707,30,곡성군
708,86,청주시
709,86,청주시
710,86,청주시
711,86,청주시
712,86,청주시
713,86,청주시
714,86,청주시
715,42,당진시
716,42,당진시
717,42,당진시
718,42,당진시
719,42,당진시
720,44,강남구
721,44,강남구
722,44,강남구
723,52,청양군
724,52,청양군
725,52,청양군
726,52,청양군
727,29,양평군
728,29,양평군
729,49,용인시
730,49,용인시
731,49,용인시
732,77,하동군
733,77,하동군
734,84,안동시
735,84,안동시
736,84,안동시
737,84,안동시
738,66,장흥군
739,81,무주군
740,81,무주군
741,93,양구군
742,84,안동시
743,153,양양군
744,153,양양군
745,4,횡성군
746,4,횡성군
747,59,광명시
748,59,광명시
749,12,양주시
750,12,양주시
751,12,양주시
752,12,양주시
753,79,논산시
754,79,논산시
755,79,논산시
756,79,논산시
757,79,논산시
758,79,논산시
759,79,논산시
760,79,논산시
761,79,논산시
762,79,논산시
763,79,논산시
764,79,논산시
765,79,논산시
766,96,고흥군
767,96,고흥군
768,96,고흥군
769,72,성동구
770,8,단양군
771,8,단양군
772,8,단양군
773,26,여주군
774,152,영동군
775,152,영동군
776,152,영동군
777,152,영동군
778,98,마포구
779,6,강화군
780,6,강화군
781,6,강화군
782,101,연천군
783,101,연천군
784,101,연천군
785,101,연천군
786,101,연천군
787,43,문경시
788,23,보령시
789,107,영덕군
790,107,영덕군
791,107,영덕군
792,107,영덕군
793,107,영덕군
794,107,영덕군
795,107,영덕군
796,107,영덕군
797,107,영덕군
798,107,영덕군
799,107,영덕군
800,73,영월군
801,73,영월군
802,73,영월군
803,73,영월군
804,106,예산군
805,106,예산군
806,106,예산군
807,106,예산군
808,106,예산군
809,106,예산군
810,106,예산군
811,106,예산군
812,9,춘천시
813,9,춘천시
814,9,춘천시
815,9,춘천시
816,9,춘천시
817,9,춘천시
818,9,춘천시
819,9,춘천시
820,97,경주시
821,97,경주시
822,89,예천군
823,31,평창군
824,31,평창군
825,31,평창군
826,13,봉화군
827,17,사천시
828,17,사천시
829,17,사천시
830,43,문경시
831,43,문경시
832,43,문경시
833,43,문경시
834,43,문경시
835,43,문경시
836,43,문경시
837,43,문경시
838,43,문경시
839,87,오산시
840,87,오산시
841,87,오산시
842,87,오산시
843,87,오산시
844,87,오산시
845,87,오산시
846,87,오산시
847,87,오산시
848,87,오산시
849,87,오산시
850,87,오산시
851,151,이천시
852,72,성동구
853,45,서천군
854,45,서천군
855,120,광주시
856,120,광주시
857,120,광주시
858,120,광주시
859,94,은평구
860,94,은평구
861,94,은평구
862,94,은평구
863,79,논산시
864,19,제천시
865,19,제천시
866,19,제천시
867,19,제천시
868,19,제천시
869,19,제천시
870,19,제천시
871,19,제천시
872,19,제천시
873,19,제천시
874,139,가평군
875,72,성동구
876,72,성동구
877,139,가평군
878,139,가평군
879,139,가평군
880,139,가평군
881,139,가평군
882,29,양평군
883,129,창녕군
884,129,창녕군
885,129,창녕군
886,129,창녕군
887,129,창녕군
888,129,창녕군
889,129,창녕군
890,129,창녕군
891,129,창녕군
892,129,창녕군
893,129,창녕군
894,129,창녕군
895,74,중구
896,74,중구
897,133,울진군
898,133,울진군
899,32,원주시
900,45,서천군
901,45,서천군
902,45,서천군
903,45,서천군
904,154,동구
905,154,동구
906,152,영동군
907,152,영동군
908,152,영동군
909,152,영동군
910,152,영동군
911,152,영동군
912,7,영천시
913,137,상주시
914,56,아산시
915,56,아산시
916,125,서대문구
917,125,서대문구
918,69,포천시
919,74,중구
920,70,서귀포시
921,92,옥천군
922,92,옥천군
923,92,옥천군
924,74,중구
925,65,양산시
926,121,부평구
927,121,부평구
928,121,부평구
929,121,부평구
930,121,부평구
931,16,김천시
932,91,괴산군
933,104,함평군
934,57,충주시
935,57,충주시
936,57,충주시
937,80,청주
938,80,청주
939,34,완주군
940,34,완주군
941,34,완주군
942,139,가평군
943,36,정선군
944,36,정선군
945,155,수지구
946,49,용인시
947,49,용인시
948,49,용인시
949,49,용인시
950,49,용인시
951,49,용인시
952,157,동래구
953,157,동래구
954,157,동래구
955,157,동래구
956,157,동래구
957,83,해운대구
958,10,제주시
959,70,서귀포시
960,70,서귀포시
961,10,제주시
962,10,제주시
963,10,제주시
964,10,제주시
965,10,제주시
966,10,제주시
967,10,제주시
968,10,제주시
969,10,제주시
970,10,제주시
971,70,서귀포시
972,70,서귀포시
973,70,서귀포시
974,19,제천시
975,19,제천시
976,19,제천시
977,19,제천시
978,19,제천시
979,19,제천시
980,19,제천시
981,137,상주시
982,86,청주시
983,86,청주시
984,86,청주시
985,86,청주시
986,86,청주시
987,86,청주시
988,86,청주시
989,86,청주시
990,86,청주시
991,86,청주시
992,86,청주시
993,86,청주시
994,86,청주시
995,86,청주시
996,86,청주시
997,7,영천시
998,132,평택시
999,132,평택시
1000,132,평택시
1001,132,평택시
1002,132,평택시
1003,49,용인시
1004,20,유성구
1005,6,강화군
1006,6,강화군
