fair_id,fair_year,fair_image_url,fair_homepage_url
1,2024,https://thesool.com/common/imageView.do?filePath=L2ltYWdlcy91cGxvYWQvbm90aWNlLzIwMjQvMTAvMjMv&fileName=7J2064yA7ZWc66-86rWtMjAyNO2PrOyKpO2EsF/subBNUy5qcGc=,https://thesool.com/front/info/notice/S/noticeDetail.do?noticeSeq=4262
2,2023,https://thesool.com/common/imageView.do?filePath=L2ltYWdlcy91cGxvYWQvbm90aWNlLzIwMjMvMTAvMTcv&fileName=7J2064yA7ZWc66-86rWtMjAyM-2PrOyKpO2EsF/subXXg==,https://thesool.com/front/info/notice/S/noticeDetail.do?noticeSeq=3982
3,2022,https://thesool.com/common/imageView.do?filePath=L2ltYWdlcy91cGxvYWQvbm90aWNlLzIwMjIvMTAvMTIv&fileName=7J2064yA7ZWc66-86rWtMjAyMu2PrOyKpO2EsF9wb3N0ZXIuanBn,https://thesool.com/front/info/notice/S/noticeDetail.do?noticeSeq=3662
