name,entry_name,source_url,graph_src,axes_json,sweetness,sourness,freshness,body,balance,season
독산 53,독산 53,https://terms.naver.com/entry.naver?docId=6040741&cid=58637&categoryId=58651,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824191957573_BJK7NFSRA.png/fe87_485_i9.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향"", ""label_en"": ""aroma"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 5}]",,,,4,,가을
설련주,설련주,https://terms.naver.com/entry.naver?docId=6040753&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824181452251_XNF3415W2.png/fe87_461_i9.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 2}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 4}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 2}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",2,4,2,3,,가을
명인 안동소주 양반탈,명인 안동소주 양반탈,https://terms.naver.com/entry.naver?docId=3595265&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522161902113_PBGTACYZS.jpg/fe87_160_i7.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향기"", ""label_en"": ""aroma"", ""value"": 1}, {""label_ko"": ""맛"", ""label_en"": ""sweetness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",1,,,3,,가을
두두물물 약주,두두물물 약주,https://terms.naver.com/entry.naver?docId=6743360&cid=58637&categoryId=58651,https://dbscthumb-phinf.pstatic.net/4776_000_3/20241209170846807_V2E5GXJ2I.jpg/fe87_638_i4.jpg?type=w492_fst&wm=N,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 4}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 4}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}, {""label_ko"": ""균형감"", ""label_en"": ""balance"", ""value"": 3}]",4,4,3,3,3,봄
블루베리 이야기,블루베리 이야기,https://terms.naver.com/entry.naver?docId=3595285&cid=58637&categoryId=58655,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522182257185_KA25KS1ZH.jpg/fe87_180_i8.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",3,1,1,3,,가을
두레앙22,두레앙 22,https://terms.naver.com/entry.naver?docId=6040774&cid=58637&categoryId=58654,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824174543760_O93RHGJHI.png/fe87_449_i7.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향"", ""label_en"": ""aroma"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 2}]",,,,4,,가을
도로시 머루주,도로시 머루주,https://terms.naver.com/entry.naver?docId=6040720&cid=58637&categoryId=58651,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824185745825_QIZWTK4ZF.png/fe87_476_i11.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 4}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 4}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 3}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",4,4,3,3,,봄
예천주복 만월40,예천주복 만월40,https://terms.naver.com/entry.naver?docId=5804482&cid=58637&categoryId=58657,https://dbscthumb-phinf.pstatic.net/4776_000_2/20190726144732934_BPLWBS9X2.png/fe87_349_i12.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""향"", ""label_en"": ""aroma"", ""value"": 4}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 4}, {""label_ko"": ""목넘김"", ""label_en"": ""other"", ""value"": 3}]",,,,4,,가을
세종대왕어주 약주,세종대왕어주 약주,https://terms.naver.com/entry.naver?docId=6036279&cid=58637&categoryId=58653,https://dbscthumb-phinf.pstatic.net/4776_000_2/20200824171045721_BPSHK8RCJ.png/fe87_436_i9.png?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단맛"", ""label_en"": ""sweetness"", ""value"": 3}, {""label_ko"": ""신맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",3,1,1,3,,가을
예담은 한산소곡주,예담은 한산소곡주,https://terms.naver.com/entry.naver?docId=3595317&cid=58637&categoryId=58654,https://dbscthumb-phinf.pstatic.net/4776_000_1/20170522215819465_4S2KUF4P8.jpg/fe87_212_i9.jpg?type=w492_fst_n&wm=Y,"[{""label_ko"": ""단 맛"", ""label_en"": ""sweetness"", ""value"": 4}, {""label_ko"": ""신 맛"", ""label_en"": ""sourness"", ""value"": 1}, {""label_ko"": ""청량감"", ""label_en"": ""freshness"", ""value"": 1}, {""label_ko"": ""바디감"", ""label_en"": ""body"", ""value"": 3}]",4,1,1,3,,가을
